代號,名稱,產業別,前一年_EPS,前一年營收_e,轉換數據EPS_1,本年度累積營收換算EPS,推估本年度營收,推估本年度EPS,平均前2年本益比,前2年本益比最高最低差,前2年最低本益比,前2年最高本益比,用本年度推估EPS換算股價最低值,用本年度推估EPS換算股價最高值,用本年度推估EPS換算股價平均值,今日股價,報酬,風險,加成,前兩年往後6月最高漲幅_%,前兩年往後6月達最高花費天數,前一年往後6月最高漲幅_%,前一年往後6月達最高花費天數
2454,聯發科,半導體業,66.16,586383033000.0,8863105093.712214,15.48,578780964044.5199,65.3,21.21,12.27,17.21,29.48,1123.81,1925.04,1385.23,1785.0,0.78,0.63,1.08,23.46,100,8.16,13
2308,台達電,電子工業,23.14,539937575000.0,23333516637.856525,6.57,724519055318.345,31.05,35.24,53.93,20.69,74.62,642.42,2316.95,1094.13,1370.0,0.8,0.47,1.69,38.88,121,116.0,182
2317,鴻海,其他電子業,10.38,7891774675000.0,760286577552.9865,2.88,9899189372926.918,13.02,15.92,10.52,10.24,20.76,133.32,270.3,207.32,214.5,0.97,0.62,1.26,90.34,118,27.57,184
2330,台積電,半導體業,66.26,3752213811000.0,56628641880.47087,18.61,4756110767402.723,83.99,25.09,15.58,17.35,32.93,1457.23,2765.79,2107.1,1885.0,1.12,0.77,1.47,40.26,121,27.53,184
2881,富邦金,金融保險,6.23,378273064000.0,60717987800.96308,1.1,317242945616.9512,5.22,11.91,26.05,7.3,33.35,38.11,174.09,62.16,89.4,0.7,0.43,1.95,34.86,174,1.01,6
