代號,名稱,產業別,前一年_EPS,前一年營收_e,轉換數據EPS_1,本年度累積營收換算EPS,推估本年度營收,推估本年度EPS,平均前2年本益比,前2年本益比最高最低差,前2年最低本益比,前2年最高本益比,用本年度推估EPS換算股價最低值,用本年度推估EPS換算股價最高值,用本年度推估EPS換算股價平均值,今日股價,報酬,風險,加成,前兩年往後6月最高漲幅_%,前兩年往後6月達最高花費天數,前一年往後6月最高漲幅_%,前一年往後6月達最高花費天數
5450,寶聯通,電腦及週邊設備業,0.22,2421173000.0,11005331818.181818,0.12,2564775763.5954576,0.23,33.25,69.42,11.11,80.53,2.56,18.52,7.65,14.2,0.54,0.18,1.3,5.93,4,1.01,10
5481,新華,電子零組件業,-0.65,97157000.0,0.0,0.0,89528919.95925815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,140.07,179,6.35,111
3629,地心引力,光電業,-0.65,4873000.0,0.0,0.0,1780554689.1891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,14.66,64,0.0,0
3687,歐買尬,文化創意業,4.68,1807323000.0,386180128.20512825,2.58,2049130953.789708,5.31,32.07,45.39,13.34,58.73,70.84,311.86,170.27,78.0,2.18,0.91,4.0,12.16,134,14.86,128
6238,勝麗,其他電子類,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
00835B,第一金科技債10+,上櫃指數股票型基金(ETF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
00837B,永豐15年金融債,上櫃指數股票型基金(ETF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
00798B,國泰中企A級債7+,上櫃指數股票型基金(ETF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
6497,亞獅康-KY,生技醫療業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
5349,先豐,電子零組件業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
01008T,駿馬R1,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
01007T,兆豐國泰R2,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,0.0,0.0,0.0,0.0,0,0.0,0
01009T,王道圓滿R1,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.38,29,3.24,23
01004T,土銀富邦R2,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44,0.0,0.0,0.0,0.0,0,0.17,1
01002T,土銀國泰R1,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.71,10,0.6,8
01001T,土銀富邦R1,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,0.0,0.0,0.0,0.0,0,0.0,0
01005T,三鼎,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
01003T,兆豐新光R1,受益證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79,0.0,0.0,0.0,3.79,2,3.79,2
710566,碩禾元大9B購01,所有證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,115.28,119,0.0,0
710561,威剛元大9B購02,所有證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
710516,宇峻永豐9B購01,所有證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
710575,環球晶中信9B購01,所有證券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
